Caja,Sucursal,ID Cámara,¿Alarma?,Fecha y Hora,Imagen,¿Gestionada?,Merma,Motivo Descarte,Recuperación,Tipo de Alerta,Hora Despliegue Alerta,Hora Gestión Alerta,Folio,Fecha Hora Cliente Acuse Recibo,Fecha Hora Servidor Acuse Recibo,Usuario,Detenido
1,121,4,False,2022-09-25 12:42:20+00:00,/app/media/2022/09/25/caja-1-09-42-20..jpg,True,0,Carro de otro cliente,,sco,2022-09-25 12:42:21.091373+00:00,2022-09-25 15:42:50.977976+00:00,1,2022-09-25 12:40:13.373000+00:00,2022-09-25 12:42:21.325497+00:00,142205394,
4,121,1,False,2022-09-25 13:22:42+00:00,/app/media/2022/09/25/caja-4-10-22-42..jpg,True,0,Cliente Pagó en SCO,,sco,2022-09-25 13:22:42.297357+00:00,2022-09-25 16:23:50.389638+00:00,1,2022-09-25 13:20:34.564000+00:00,2022-09-25 13:22:42.470244+00:00,142205394,
7,121,7,False,2022-09-25 13:41:40+00:00,/app/media/2022/09/25/caja-7-10-41-40..jpg,True,0,Carro de otro cliente,,sco,2022-09-25 13:41:40.809199+00:00,2022-09-25 16:41:57.296471+00:00,1,2022-09-25 13:39:33.063000+00:00,2022-09-25 13:41:40.885908+00:00,142205394,
1,121,9,False,2022-09-25 13:45:16+00:00,/app/media/2022/09/25/caja-1-10-45-16..jpg,True,0,Bolsa Reutilizable,,sco,2022-09-25 13:45:16.494262+00:00,2022-09-25 16:45:45.384900+00:00,1,2022-09-25 13:43:08.731000+00:00,2022-09-25 13:45:16.674430+00:00,142205394,
6,121,6,False,2022-09-25 14:12:37+00:00,/app/media/2022/09/25/caja-6-11-12-37..jpg,True,0,Error de Reconocimiento,,sco,2022-09-25 14:12:37.577099+00:00,2022-09-25 17:12:57.985786+00:00,1,2022-09-25 14:10:29.794000+00:00,2022-09-25 14:12:37.647943+00:00,142205394,
6,121,7,False,2022-09-25 14:17:24+00:00,/app/media/2022/09/25/caja-6-11-17-24..jpg,True,0,Carro de otro cliente,,sco,2022-09-25 14:17:24.149089+00:00,2022-09-25 17:17:56.055890+00:00,1,2022-09-25 14:15:16.373000+00:00,2022-09-25 14:17:24.289696+00:00,142205394,
7,121,12,False,2022-09-25 14:24:21+00:00,/app/media/2022/09/25/caja-7-11-24-21..jpg,True,0,Carro de otro cliente,,sco,2022-09-25 14:24:21.163850+00:00,2022-09-25 17:24:40.061901+00:00,1,2022-09-25 14:22:13.383000+00:00,2022-09-25 14:24:21.312471+00:00,142205394,
7,121,14,False,2022-09-25 14:37:32+00:00,/app/media/2022/09/25/caja-7-11-37-32..jpg,True,0,Bolsa Reutilizable,,sco,2022-09-25 14:37:32.889611+00:00,2022-09-25 17:38:09.174383+00:00,1,2022-09-25 14:35:25.106000+00:00,2022-09-25 14:37:33.039150+00:00,142205394,
2,121,13,False,2022-09-25 14:50:27+00:00,/app/media/2022/09/25/caja-2-11-50-27..jpg,True,0,Carro de otro cliente,,sco,2022-09-25 14:50:27.431725+00:00,2022-09-25 17:50:35.951041+00:00,1,2022-09-25 14:48:19.642000+00:00,2022-09-25 14:50:27.620967+00:00,142205394,
5,121,20,False,2022-09-25 15:19:44+00:00,/app/media/2022/09/25/caja-5-12-19-44..jpg,True,0,Bolsa Reutilizable,,sco,2022-09-25 15:19:44.785014+00:00,2022-09-25 18:19:54.860149+00:00,1,2022-09-25 15:17:36.970000+00:00,2022-09-25 15:19:44.931492+00:00,142205394,
5,121,21,False,2022-09-25 15:23:20+00:00,/app/media/2022/09/25/caja-5-12-23-20..jpg,True,0,Cliente Pagó en SCO,,sco,2022-09-25 15:23:20.637201+00:00,2022-09-25 18:24:40.889594+00:00,1,2022-09-25 15:21:12.823000+00:00,2022-09-25 15:23:20.786229+00:00,142205394,
7,121,22,False,2022-09-25 15:23:22+00:00,/app/media/2022/09/25/caja-7-12-23-22..jpg,True,0,Carro de otro cliente,,sco,2022-09-25 15:23:22.158967+00:00,2022-09-25 18:23:29.431146+00:00,1,2022-09-25 15:21:14.337000+00:00,2022-09-25 15:23:22.189933+00:00,142205394,
5,121,23,False,2022-09-25 15:32:48+00:00,/app/media/2022/09/25/caja-5-12-32-48..jpg,True,0,Error de Reconocimiento,,sco,2022-09-25 15:32:48.486484+00:00,2022-09-25 18:33:10.179537+00:00,1,2022-09-25 15:30:40.667000+00:00,2022-09-25 15:32:48.637076+00:00,142205394,
4,121,10,False,2022-09-25 15:32:50+00:00,/app/media/2022/09/25/caja-4-12-32-50..jpg,True,0,Carro de otro cliente,,sco,2022-09-25 15:32:50.193670+00:00,2022-09-25 18:32:58.557473+00:00,1,2022-09-25 15:30:42.368000+00:00,2022-09-25 15:32:50.232730+00:00,142205394,
0,121,0,False,2022-09-25 15:42:43+00:00,/app/media/2022/09/25/caja-0-12-42-43..jpg,True,0,Intervención Cajera,,carrazo,2022-09-25 15:42:43.146064+00:00,2022-09-25 18:43:46.171293+00:00,1,2022-09-25 15:40:35.313000+00:00,2022-09-25 15:42:43.306570+00:00,142205394,
6,121,12,False,2022-09-25 15:46:07+00:00,/app/media/2022/09/25/caja-6-12-46-07..jpg,True,0,Bolsa Reutilizable,,sco,2022-09-25 15:46:07.605040+00:00,2022-09-25 18:46:25.527918+00:00,1,2022-09-25 15:43:59.770000+00:00,2022-09-25 15:46:07.724569+00:00,142205394,
5,121,27,False,2022-09-25 16:05:44+00:00,/app/media/2022/09/25/caja-5-13-05-44..jpg,True,0,Bolsa Reutilizable,,sco,2022-09-25 16:05:45.094291+00:00,2022-09-25 19:06:58.006537+00:00,1,2022-09-25 16:03:37.244000+00:00,2022-09-25 16:05:45.294041+00:00,142205394,
5,121,28,False,2022-09-25 16:08:37+00:00,/app/media/2022/09/25/caja-5-13-08-37..jpg,True,0,Carro de otro cliente,,sco,2022-09-25 16:08:37.463331+00:00,2022-09-25 19:08:48.955356+00:00,1,2022-09-25 16:06:29.612000+00:00,2022-09-25 16:08:37.602627+00:00,142205394,
2,121,32,False,2022-09-25 16:13:39+00:00,/app/media/2022/09/25/caja-2-13-13-39..jpg,True,0,Bolsa Reutilizable,,sco,2022-09-25 16:13:39.663690+00:00,2022-09-25 19:13:56.317151+00:00,1,2022-09-25 16:11:31.808000+00:00,2022-09-25 16:13:39.804537+00:00,142205394,
6,121,17,False,2022-09-25 16:20:03+00:00,/app/media/2022/09/25/caja-6-13-20-03..jpg,True,0,Bolsa Reutilizable,,sco,2022-09-25 16:20:03.814695+00:00,2022-09-25 19:20:14.804407+00:00,1,2022-09-25 16:17:55.959000+00:00,2022-09-25 16:20:03.949678+00:00,142205394,
