Zona,Caja,Sucursal,ID Cámara,¿Alarma?,Fecha y Hora,Imagen,¿Gestionada?,Merma,Motivo Descarte,Recuperación,Tipo de Alerta,Hora Despliegue Alerta,Hora Gestión Alerta,Folio,Fecha Hora Cliente Acuse Recibo,Fecha Hora Servidor Acuse Recibo,Usuario,Detenido
,10,95,9,False,2022-11-12 13:44:42+00:00,/app/media/2022/11/12/caja-10-10-44-42..jpg,True,0,Cliente Pagó en SCO,,sco,2022-11-12 13:44:42.702530+00:00,2022-11-12 16:49:20.415312+00:00,1,2022-11-12 13:44:55.566000+00:00,2022-11-12 13:44:44.454177+00:00,125097030,
,1,95,28,False,2022-11-12 15:12:53+00:00,/app/media/2022/11/12/caja-1-12-12-53..jpg,True,0,Carro de otro cliente,,sco,2022-11-12 15:12:53.560059+00:00,2022-11-12 18:13:05.750048+00:00,1,2022-11-12 15:13:06.428000+00:00,2022-11-12 15:12:55.381832+00:00,125097030,
,1,95,32,False,2022-11-12 15:29:05+00:00,/app/media/2022/11/12/caja-1-12-29-05..jpg,True,0,Carro de otro cliente,,sco,2022-11-12 15:29:05.481205+00:00,2022-11-12 18:29:49.457496+00:00,1,2022-11-12 15:29:18.393000+00:00,2022-11-12 15:29:07.078815+00:00,125097030,
,12,95,36,False,2022-11-12 15:29:13+00:00,/app/media/2022/11/12/caja-12-12-29-13..jpg,True,0,Error de Reconocimiento,,sco,2022-11-12 15:29:13.659632+00:00,2022-11-12 18:29:27.927584+00:00,1,2022-11-12 15:29:26.449000+00:00,2022-11-12 15:29:13.731971+00:00,125097030,
,7,95,12,False,2022-11-12 16:01:04+00:00,/app/media/2022/11/12/caja-7-13-01-04..jpg,True,0,Cliente Pagó en SCO,,sco,2022-11-12 16:01:04.107593+00:00,2022-11-12 19:31:13.713154+00:00,1,2022-11-12 16:01:17+00:00,2022-11-12 16:01:05.938485+00:00,125097030,
,8,95,16,False,2022-11-12 16:04:38+00:00,/app/media/2022/11/12/caja-8-13-04-38..jpg,True,0,Cliente Pagó en SCO,,sco,2022-11-12 16:04:38.451052+00:00,2022-11-12 19:04:49.643933+00:00,1,2022-11-12 16:04:51.283000+00:00,2022-11-12 16:04:38.638719+00:00,125097030,
,7,95,13,False,2022-11-12 16:05:36+00:00,/app/media/2022/11/12/caja-7-13-05-36..jpg,True,0,Cliente Pagó en SCO,,sco,2022-11-12 16:05:37.029690+00:00,2022-11-12 19:33:36.997518+00:00,1,2022-11-12 16:05:49.857000+00:00,2022-11-12 16:05:38.448508+00:00,125097030,
,9,95,26,False,2022-11-12 16:08:45+00:00,/app/media/2022/11/12/caja-9-13-08-45..jpg,True,0,Cliente Pagó en SCO,,sco,2022-11-12 16:08:45.362341+00:00,2022-11-12 19:33:17.582979+00:00,1,2022-11-12 16:08:58.271000+00:00,2022-11-12 16:08:45.604427+00:00,125097030,
,9,95,27,False,2022-11-12 16:12:23+00:00,/app/media/2022/11/12/caja-9-13-12-23..jpg,True,0,Cliente Pagó en SCO,,sco,2022-11-12 16:12:23.902541+00:00,2022-11-12 19:32:51.548053+00:00,1,2022-11-12 16:12:36.798000+00:00,2022-11-12 16:12:24.152483+00:00,125097030,
,11,95,44,False,2022-11-12 16:15:22+00:00,/app/media/2022/11/12/caja-11-13-15-22..jpg,True,0,Cliente Pagó en SCO,,sco,2022-11-12 16:15:22.460620+00:00,2022-11-12 19:23:42.412667+00:00,1,2022-11-12 16:15:35.387000+00:00,2022-11-12 16:15:22.741778+00:00,125097030,
,8,95,22,False,2022-11-12 16:26:19+00:00,/app/media/2022/11/12/caja-8-13-26-19..jpg,True,0,Cliente Pagó en SCO,,sco,2022-11-12 16:26:19.494964+00:00,2022-11-12 19:30:56.312117+00:00,1,2022-11-12 16:26:32.305000+00:00,2022-11-12 16:26:21.144456+00:00,125097030,
,9,95,33,False,2022-11-12 16:31:50+00:00,/app/media/2022/11/12/caja-9-13-31-50..jpg,True,0,Cliente Pagó en SCO,,sco,2022-11-12 16:31:50.748745+00:00,2022-11-12 19:32:29.726817+00:00,1,2022-11-12 16:32:03.567000+00:00,2022-11-12 16:31:50.944465+00:00,125097030,
,6,95,28,False,2022-11-12 17:00:23+00:00,/app/media/2022/11/12/caja-6-14-00-23..jpg,True,0,Cliente Pagó en SCO,,sco,2022-11-12 17:00:23.822105+00:00,2022-11-12 20:00:35.518481+00:00,1,2022-11-12 17:00:36.635000+00:00,2022-11-12 17:00:25.424690+00:00,125097030,
,1,95,58,False,2022-11-12 17:00:52+00:00,/app/media/2022/11/12/caja-1-14-00-52..jpg,True,0,Cliente Pagó en SCO,,sco,2022-11-12 17:00:52.108654+00:00,2022-11-13 01:31:54.156487+00:00,1,,,125097030,
,9,95,44,False,2022-11-12 17:01:28+00:00,/app/media/2022/11/12/caja-9-14-01-28..jpg,True,0,Sin Control,,sco,2022-11-12 17:01:28.767266+00:00,2022-11-12 20:01:51.130056+00:00,1,2022-11-12 17:01:41.657000+00:00,2022-11-12 17:01:30.513013+00:00,125097030,
,8,95,32,False,2022-11-12 17:11:20+00:00,/app/media/2022/11/12/caja-8-14-11-20..jpg,True,0,Sin Control,,sco,2022-11-12 17:11:20.865148+00:00,2022-11-12 20:11:32.897411+00:00,1,2022-11-12 17:11:33.661000+00:00,2022-11-12 17:11:22.558344+00:00,125097030,
,9,95,52,False,2022-11-12 17:32:01+00:00,/app/media/2022/11/12/caja-9-14-32-01..jpg,True,0,Cliente Pagó en SCO,,sco,2022-11-12 17:32:01.638265+00:00,2022-11-13 01:33:10.131464+00:00,1,2022-11-12 17:32:14.476000+00:00,2022-11-12 17:32:03.232177+00:00,125097030,
,0,95,0,False,2022-11-12 17:32:06+00:00,/app/media/2022/11/12/caja-0-14-32-06..jpg,False,0,,,carrazo,2022-11-12 17:32:06.128774+00:00,,1,2022-11-12 17:32:18.937000+00:00,2022-11-12 17:32:06.224408+00:00,,
,0,95,0,False,2022-11-12 17:35:57+00:00,/app/media/2022/11/12/caja-0-14-35-57..jpg,True,0,Cliente Pagó en SCO,,carrazo,2022-11-12 17:35:57.338061+00:00,2022-11-13 01:33:34.454699+00:00,1,2022-11-12 17:36:10.165000+00:00,2022-11-12 17:35:57.561728+00:00,125097030,
,6,95,35,False,2022-11-12 17:47:42+00:00,/app/media/2022/11/12/caja-6-14-47-42..jpg,True,0,Sin Control,,sco,2022-11-12 17:47:42.390029+00:00,2022-11-12 20:49:35.856684+00:00,1,2022-11-12 17:47:55.205000+00:00,2022-11-12 17:47:42.530984+00:00,125097030,
,0,95,0,False,2022-11-12 18:08:43+00:00,/app/media/2022/11/12/caja-0-15-08-43..jpg,True,0,Cliente lleva productos cancelados previamente,,carrazo,2022-11-12 18:08:43.266003+00:00,2022-11-12 21:08:58.445527+00:00,1,2022-11-12 18:08:56.178000+00:00,2022-11-12 18:08:44.989928+00:00,125097030,
,11,95,85,False,2022-11-12 19:17:42+00:00,/app/media/2022/11/12/caja-11-16-17-42..jpg,True,0,Sin Control,,sco,2022-11-12 19:17:42.862540+00:00,2022-11-12 22:23:10.482878+00:00,1,2022-11-12 19:17:55.821000+00:00,2022-11-12 19:17:44.475511+00:00,125097030,
,12,95,92,False,2022-11-12 19:23:53+00:00,/app/media/2022/11/12/caja-12-16-23-53..jpg,True,0,Sin Control,,sco,2022-11-12 19:23:53.637934+00:00,2022-11-12 22:25:04.628882+00:00,1,2022-11-12 19:24:06.545000+00:00,2022-11-12 19:23:53.796644+00:00,125097030,
,12,95,94,False,2022-11-12 19:30:19+00:00,/app/media/2022/11/12/caja-12-16-30-19..jpg,True,0,Cliente lleva productos cancelados previamente,,sco,2022-11-12 19:30:19.890134+00:00,2022-11-12 22:32:33.879424+00:00,1,2022-11-12 19:30:32.805000+00:00,2022-11-12 19:30:21.553480+00:00,125097030,
