Zona,Caja,Sucursal,ID Cámara,¿Alarma?,Fecha y Hora,Imagen,¿Gestionada?,Merma,Motivo Descarte,Recuperación,Tipo de Alerta,Hora Despliegue Alerta,Hora Gestión Alerta,Folio,Fecha Hora Cliente Acuse Recibo,Fecha Hora Servidor Acuse Recibo,Usuario,Detenido
,0,3,0,False,2022-11-15 15:59:25+00:00,/app/media/2022/11/15/caja-0-12-59-25..jpg,True,0,Cliente Pagó en SCO,,simulacion,2022-11-15 15:59:25.802542+00:00,2022-11-15 18:59:51.784050+00:00,1,2022-11-15 15:59:52.703000+00:00,2022-11-15 15:59:27.150819+00:00,166477921,
,6,3,43,False,2022-11-15 16:01:56+00:00,/app/media/2022/11/15/caja-6-13-01-56..jpg,True,0,Carro de otro cliente,,sco,2022-11-15 16:01:56.862231+00:00,2022-11-15 19:02:09.156815+00:00,1,2022-11-15 16:02:25.299000+00:00,2022-11-15 16:01:59.984220+00:00,166477921,
,5,3,50,False,2022-11-15 16:06:00+00:00,/app/media/2022/11/15/caja-5-13-06-00..jpg,True,0,Bolsa Reutilizable,,sco,2022-11-15 16:06:00.136904+00:00,2022-11-15 19:06:17.653563+00:00,1,2022-11-15 16:06:26.997000+00:00,2022-11-15 16:06:00.294042+00:00,166477921,
,0,3,0,False,2022-11-15 16:16:34+00:00,/app/media/2022/11/15/caja-0-13-16-34..jpg,True,0,Cliente Pagó en SCO,,simulacion,2022-11-15 16:16:34.055949+00:00,2022-11-15 19:16:45.286112+00:00,1,2022-11-15 16:17:00.905000+00:00,2022-11-15 16:16:35.484728+00:00,166477921,
,5,3,54,False,2022-11-15 16:20:01+00:00,/app/media/2022/11/15/caja-5-13-20-01..jpg,True,0,Carro de otro cliente,,sco,2022-11-15 16:20:01.762933+00:00,2022-11-15 19:21:18.134857+00:00,1,2022-11-15 16:20:28.649000+00:00,2022-11-15 16:20:03.083453+00:00,166477921,
,0,3,0,False,2022-11-15 16:20:06+00:00,/app/media/2022/11/15/caja-0-13-20-06..jpg,True,0,Cliente Pagó en SCO,,simulacion,2022-11-15 16:20:06.114891+00:00,2022-11-15 19:20:13.538148+00:00,1,2022-11-15 16:20:33.029000+00:00,2022-11-15 16:20:06.266586+00:00,166477921,
,6,3,48,False,2022-11-15 16:20:27+00:00,/app/media/2022/11/15/caja-6-13-20-27..jpg,True,0,Carro de otro cliente,,sco,2022-11-15 16:20:27.185942+00:00,2022-11-15 19:20:35.150712+00:00,1,2022-11-15 16:20:54.025000+00:00,2022-11-15 16:20:27.265277+00:00,166477921,
,6,3,50,False,2022-11-15 16:26:58+00:00,/app/media/2022/11/15/caja-6-13-26-58..jpg,True,0,Cliente Pagó en SCO,,sco,2022-11-15 16:26:58.771723+00:00,2022-11-15 19:27:15.747967+00:00,1,2022-11-15 16:27:25.619000+00:00,2022-11-15 16:27:00.297126+00:00,166477921,
,6,3,53,False,2022-11-15 16:33:18+00:00,/app/media/2022/11/15/caja-6-13-33-18..jpg,True,0,Cliente Pagó en SCO,,sco,2022-11-15 16:33:18.311528+00:00,2022-11-15 19:34:48.934703+00:00,1,2022-11-15 16:33:45.187000+00:00,2022-11-15 16:33:19.807841+00:00,166477921,
,7,3,66,False,2022-11-15 16:52:24+00:00,/app/media/2022/11/15/caja-7-13-52-24..jpg,True,0,Carro de otro cliente,,sco,2022-11-15 16:52:24.269302+00:00,2022-11-15 20:02:01.098957+00:00,1,2022-11-15 16:52:51.212000+00:00,2022-11-15 16:52:25.846781+00:00,166477921,
,2,3,86,False,2022-11-15 17:05:34+00:00,/app/media/2022/11/15/caja-2-14-05-34..jpg,True,0,Cliente Pagó en SCO,,sco,2022-11-15 17:05:35.321573+00:00,2022-11-15 20:08:01.692670+00:00,1,2022-11-15 17:06:02.197000+00:00,2022-11-15 17:05:36.589006+00:00,166477921,
,10,3,94,False,2022-11-15 17:25:43+00:00,/app/media/2022/11/15/caja-10-14-25-43..jpg,True,0,Error de Reconocimiento,,sco,2022-11-15 17:25:43.131652+00:00,2022-11-15 20:26:28.568446+00:00,1,2022-11-15 17:26:10.064000+00:00,2022-11-15 17:25:44.557605+00:00,166477921,
,9,3,115,False,2022-11-15 17:32:38+00:00,/app/media/2022/11/15/caja-9-14-32-38..jpg,True,0,Carro de otro cliente,,sco,2022-11-15 17:32:38.276045+00:00,2022-11-15 20:41:06.463659+00:00,1,2022-11-15 17:33:05.239000+00:00,2022-11-15 17:32:39.791122+00:00,166477921,
,6,3,73,False,2022-11-15 17:46:58+00:00,/app/media/2022/11/15/caja-6-14-46-58..jpg,True,0,Carro Vacío,,sco,2022-11-15 17:46:58.157671+00:00,2022-11-15 20:47:18.512627+00:00,1,2022-11-15 17:47:25.072000+00:00,2022-11-15 17:46:59.591952+00:00,166477921,
,7,3,87,False,2022-11-15 17:51:02+00:00,/app/media/2022/11/15/caja-7-14-51-02..jpg,True,0,Bolsa Reutilizable,,sco,2022-11-15 17:51:02.756678+00:00,2022-11-15 20:54:02.223617+00:00,1,2022-11-15 17:51:29.675000+00:00,2022-11-15 17:51:02.886593+00:00,166477921,
,5,3,73,False,2022-11-15 17:52:41+00:00,/app/media/2022/11/15/caja-5-14-52-41..jpg,True,0,Bolsa Reutilizable,,sco,2022-11-15 17:52:41.615735+00:00,2022-11-15 20:53:41.349899+00:00,1,2022-11-15 17:53:08.586000+00:00,2022-11-15 17:52:41.802248+00:00,166477921,
,7,3,88,False,2022-11-15 17:52:59+00:00,/app/media/2022/11/15/caja-7-14-52-59..jpg,True,0,Bolsa Reutilizable,,sco,2022-11-15 17:52:59.920791+00:00,2022-11-15 20:53:25.752221+00:00,1,2022-11-15 17:53:26.812000+00:00,2022-11-15 17:52:59.984731+00:00,166477921,
,5,3,74,False,2022-11-15 17:57:13+00:00,/app/media/2022/11/15/caja-5-14-57-13..jpg,True,0,Cliente Pagó en SCO,,sco,2022-11-15 17:57:13.901895+00:00,2022-11-15 21:05:26.783655+00:00,1,2022-11-15 17:57:40.894000+00:00,2022-11-15 17:57:15.396736+00:00,166477921,
,6,3,77,False,2022-11-15 18:05:33+00:00,/app/media/2022/11/15/caja-6-15-05-33..jpg,True,0,Bolsa Reutilizable,,sco,2022-11-15 18:05:33.260673+00:00,2022-11-15 22:05:17.413438+00:00,1,,,166477921,
,7,3,98,False,2022-11-15 18:24:28+00:00,/app/media/2022/11/15/caja-7-15-24-28..jpg,True,0,,,sco,2022-11-15 18:24:28.856481+00:00,2022-11-15 21:26:39.713143+00:00,1,2022-11-15 18:24:55.847000+00:00,2022-11-15 18:24:29.046708+00:00,166477921,
,10,3,116,False,2022-11-15 19:04:50+00:00,/app/media/2022/11/15/caja-10-16-04-50..jpg,True,0,Error de Reconocimiento,,sco,2022-11-15 19:04:50.354686+00:00,2022-11-15 22:05:35.041041+00:00,1,2022-11-15 19:05:17.391000+00:00,2022-11-15 19:04:52.171588+00:00,166477921,
,2,3,117,False,2022-11-15 19:26:06+00:00,/app/media/2022/11/15/caja-2-16-26-06..jpg,True,0,Multicompra,,sco,2022-11-15 19:26:06.827746+00:00,2022-11-15 22:27:53.041207+00:00,1,2022-11-15 19:26:33.876000+00:00,2022-11-15 19:26:08.431130+00:00,166477921,
,8,3,113,False,2022-11-15 19:27:23+00:00,/app/media/2022/11/15/caja-8-16-27-23..jpg,True,0,Carro de otro cliente,,sco,2022-11-15 19:27:23.519967+00:00,2022-11-15 22:27:29.639546+00:00,1,2022-11-15 19:27:50.526000+00:00,2022-11-15 19:27:23.682376+00:00,166477921,
,2,3,118,False,2022-11-15 19:30:47+00:00,/app/media/2022/11/15/caja-2-16-30-47..jpg,True,0,Multicompra,,sco,2022-11-15 19:30:47.766422+00:00,2022-11-15 22:30:54.471664+00:00,1,2022-11-15 19:31:14.620000+00:00,2022-11-15 19:30:49.202135+00:00,166477921,
,10,3,121,False,2022-11-15 19:32:50+00:00,/app/media/2022/11/15/caja-10-16-32-50..jpg,True,0,Multicompra,,sco,2022-11-15 19:32:50.838420+00:00,2022-11-15 22:35:28.403183+00:00,1,2022-11-15 19:33:17.779000+00:00,2022-11-15 19:32:52.272432+00:00,166477921,
,7,3,104,False,2022-11-15 19:35:50+00:00,/app/media/2022/11/15/caja-7-16-35-50..jpg,True,0,Error de Reconocimiento,,sco,2022-11-15 19:35:51.041979+00:00,2022-11-15 22:36:12.513982+00:00,1,2022-11-15 19:36:17.900000+00:00,2022-11-15 19:35:51.133230+00:00,166477921,
,5,3,85,False,2022-11-15 19:39:44+00:00,/app/media/2022/11/15/caja-5-16-39-44..jpg,True,0,Error de Reconocimiento,,sco,2022-11-15 19:39:44.869991+00:00,2022-11-15 22:39:54.313928+00:00,1,2022-11-15 19:40:11.808000+00:00,2022-11-15 19:39:46.428932+00:00,166477921,
,3,3,142,False,2022-11-15 20:27:54+00:00,/app/media/2022/11/15/caja-3-17-27-54..jpg,True,0,Carro de otro cliente,,sco,2022-11-15 20:27:55.032244+00:00,2022-11-15 23:28:02.345792+00:00,1,2022-11-15 20:28:22.032000+00:00,2022-11-15 20:27:56.500840+00:00,166477921,
,0,3,0,False,2022-11-15 20:29:23+00:00,/app/media/2022/11/15/caja-0-17-29-23..jpg,True,0,Cliente Pagó en SCO,,carrazo,2022-11-15 20:29:23.379741+00:00,2022-11-15 23:29:48.162267+00:00,1,2022-11-15 20:29:50.397000+00:00,2022-11-15 20:29:23.577780+00:00,166477921,
,8,3,133,False,2022-11-15 20:38:48+00:00,/app/media/2022/11/15/caja-8-17-38-48..jpg,True,0,Bolsa Reutilizable,,sco,2022-11-15 20:38:48.609800+00:00,2022-11-15 23:38:56.934393+00:00,1,2022-11-15 20:39:15.520000+00:00,2022-11-15 20:38:50.048594+00:00,166477921,
,0,3,0,False,2022-11-15 20:43:44+00:00,/app/media/2022/11/15/caja-0-17-43-44..jpg,True,0,Cliente Pagó en SCO,,carrazo,2022-11-15 20:43:44.872781+00:00,2022-11-15 23:44:21.115325+00:00,1,2022-11-15 20:44:11.891000+00:00,2022-11-15 20:43:46.533088+00:00,166477921,
,0,3,0,False,2022-11-15 20:46:59+00:00,/app/media/2022/11/15/caja-0-17-46-59..jpg,True,0,Cliente Pagó en SCO,,carrazo,2022-11-15 20:46:59.162074+00:00,2022-11-15 23:47:28.622227+00:00,1,2022-11-15 20:47:26.159000+00:00,2022-11-15 20:46:59.356064+00:00,166477921,
,0,3,0,False,2022-11-15 21:10:33+00:00,/app/media/2022/11/15/caja-0-18-10-33..jpg,True,0,Cliente Pagó en SCO,,carrazo,2022-11-15 21:10:33.605830+00:00,2022-11-16 00:11:32.402337+00:00,1,2022-11-15 21:11:00.622000+00:00,2022-11-15 21:10:35.079590+00:00,166477921,
,2,3,157,False,2022-11-15 21:18:58+00:00,/app/media/2022/11/15/caja-2-18-18-58..jpg,True,0,Bolsa Reutilizable,,sco,2022-11-15 21:18:58.611260+00:00,2022-11-16 00:19:12.673211+00:00,1,2022-11-15 21:19:25.638000+00:00,2022-11-15 21:19:00.194354+00:00,166477921,
,2,3,158,False,2022-11-15 21:20:06+00:00,/app/media/2022/11/15/caja-2-18-20-06..jpg,True,0,Cliente Pagó en SCO,,sco,2022-11-15 21:20:06.526932+00:00,2022-11-16 00:21:52.906398+00:00,1,2022-11-15 21:20:33.526000+00:00,2022-11-15 21:20:07.957931+00:00,166477921,
,4,3,93,False,2022-11-15 21:23:15+00:00,/app/media/2022/11/15/caja-4-18-23-15..jpg,True,0,Cliente Pagó en SCO,,sco,2022-11-15 21:23:15.958341+00:00,2022-11-16 00:23:28.397247+00:00,1,2022-11-15 21:23:42.989000+00:00,2022-11-15 21:23:17.542434+00:00,166477921,
,2,3,162,False,2022-11-15 21:30:04+00:00,/app/media/2022/11/15/caja-2-18-30-04..jpg,True,0,Carro de otro cliente,,sco,2022-11-15 21:30:04.995886+00:00,2022-11-16 00:31:43.367459+00:00,1,2022-11-15 21:30:32.021000+00:00,2022-11-15 21:30:06.591122+00:00,166477921,
,0,3,0,False,2022-11-15 21:31:03+00:00,/app/media/2022/11/15/caja-0-18-31-03..jpg,True,0,Error de Reconocimiento,,carrazo,2022-11-15 21:31:03.903079+00:00,2022-11-16 00:31:10.462309+00:00,1,2022-11-15 21:31:30.917000+00:00,2022-11-15 21:31:04.085512+00:00,166477921,
,4,3,96,False,2022-11-15 21:32:20+00:00,/app/media/2022/11/15/caja-4-18-32-20..jpg,True,0,Error de Reconocimiento,,sco,2022-11-15 21:32:20.876645+00:00,2022-11-16 00:43:08.329353+00:00,1,,,166477921,
,8,3,152,False,2022-11-15 21:42:44+00:00,/app/media/2022/11/15/caja-8-18-42-44..jpg,True,0,Error de Reconocimiento,,sco,2022-11-15 21:42:44.168861+00:00,2022-11-16 00:42:50.240163+00:00,1,2022-11-15 21:43:11.161000+00:00,2022-11-15 21:42:45.696696+00:00,166477921,
,2,3,177,False,2022-11-15 22:07:03+00:00,/app/media/2022/11/15/caja-2-19-07-03..jpg,True,0,Bolsa Reutilizable,,sco,2022-11-15 22:07:03.330645+00:00,2022-11-16 01:07:11.643506+00:00,1,2022-11-15 22:07:30.305000+00:00,2022-11-15 22:07:04.760867+00:00,166477921,
,0,3,0,False,2022-11-15 22:35:36+00:00,/app/media/2022/11/15/caja-0-19-35-36..jpg,True,0,Cliente Pagó en SCO,,simulacion,2022-11-15 22:35:36.835450+00:00,2022-11-16 01:36:25.900902+00:00,1,2022-11-15 22:36:03.905000+00:00,2022-11-15 22:35:38.404153+00:00,166477921,
,0,3,0,False,2022-11-15 23:04:57+00:00,/app/media/2022/11/15/caja-0-20-04-57..jpg,True,0,Cliente Pagó en SCO,,carrazo,2022-11-15 23:04:57.078587+00:00,2022-11-16 02:05:16.166992+00:00,1,2022-11-15 23:05:24.191000+00:00,2022-11-15 23:04:58.585919+00:00,166477921,
,6,3,138,False,2022-11-15 23:05:38+00:00,/app/media/2022/11/15/caja-6-20-05-38..jpg,True,0,Carro de otro cliente,,sco,2022-11-15 23:05:38.857671+00:00,2022-11-16 02:22:40.354949+00:00,1,,,166477921,
,7,3,168,False,2022-11-15 23:20:19+00:00,/app/media/2022/11/15/caja-7-20-20-19..jpg,True,0,Error de Reconocimiento,,sco,2022-11-15 23:20:19.179555+00:00,2022-11-16 02:20:26.980941+00:00,1,2022-11-15 23:20:46.277000+00:00,2022-11-15 23:20:20.740985+00:00,166477921,
,0,3,0,False,2022-11-15 23:21:35+00:00,/app/media/2022/11/15/caja-0-20-21-35..jpg,True,0,Cliente Pagó en SCO,,simulacion,2022-11-15 23:21:35.680326+00:00,2022-11-16 02:21:58.961545+00:00,1,2022-11-15 23:22:02.733000+00:00,2022-11-15 23:21:36.975244+00:00,166477921,
,0,3,0,False,2022-11-15 23:29:50+00:00,/app/media/2022/11/15/caja-0-20-29-50..jpg,True,0,Cliente Pagó en SCO,,carrazo,2022-11-15 23:29:50.736378+00:00,2022-11-16 02:30:12.304162+00:00,1,2022-11-15 23:30:17.820000+00:00,2022-11-15 23:29:52.338694+00:00,166477921,
,7,3,173,False,2022-11-15 23:34:19+00:00,/app/media/2022/11/15/caja-7-20-34-19..jpg,True,0,Carro de otro cliente,,sco,2022-11-15 23:34:19.214947+00:00,2022-11-16 02:34:27.726779+00:00,1,2022-11-15 23:34:46.354000+00:00,2022-11-15 23:34:19.430698+00:00,166477921,
,0,3,0,False,2022-11-15 23:49:16+00:00,/app/media/2022/11/15/caja-0-20-49-16..jpg,True,0,Cliente Pagó en SCO,,carrazo,2022-11-15 23:49:16.297630+00:00,2022-11-16 14:34:34.642054+00:00,1,2022-11-15 23:49:43.373000+00:00,2022-11-15 23:49:17.710409+00:00,166477921,
,8,3,194,False,2022-11-15 23:54:06+00:00,/app/media/2022/11/15/caja-8-20-54-06..jpg,True,0,Carro de otro cliente,,sco,2022-11-15 23:54:06.961341+00:00,2022-11-16 02:54:17.176850+00:00,1,2022-11-15 23:54:34.049000+00:00,2022-11-15 23:54:08.375415+00:00,166477921,
,0,3,0,False,2022-11-16 00:09:59+00:00,/app/media/2022/11/15/caja-0-21-09-59..jpg,True,0,Error de Reconocimiento,,simulacion,2022-11-16 00:09:59.863558+00:00,2022-11-16 03:10:34.548940+00:00,1,2022-11-16 00:10:26.946000+00:00,2022-11-16 00:10:01.438420+00:00,166477921,
,6,3,150,False,2022-11-16 00:12:11+00:00,/app/media/2022/11/15/caja-6-21-12-11..jpg,True,0,Carro de otro cliente,,sco,2022-11-16 00:12:11.370229+00:00,2022-11-16 03:12:17.952582+00:00,1,2022-11-16 00:12:38.547000+00:00,2022-11-16 00:12:12.846372+00:00,166477921,
,3,3,210,False,2022-11-16 00:13:09+00:00,/app/media/2022/11/15/caja-3-21-13-09..jpg,True,0,Bolsa Reutilizable,,sco,2022-11-16 00:13:09.353212+00:00,2022-11-16 14:34:57.221575+00:00,1,,,166477921,
