Zona,Caja,Sucursal,ID Cámara,¿Alarma?,Fecha y Hora,Imagen,¿Gestionada?,Merma,Motivo Descarte,Recuperación,Tipo de Alerta,Hora Despliegue Alerta,Hora Gestión Alerta,Folio,Fecha Hora Cliente Acuse Recibo,Fecha Hora Servidor Acuse Recibo,Usuario,Detenido
,12,95,4,False,2022-11-11 11:32:42+00:00,/app/media/2022/11/11/caja-12-08-32-42..jpg,True,0,Cliente Pagó en SCO,,sco,2022-11-11 11:32:42.252639+00:00,2022-11-11 14:42:20.929910+00:00,1,2022-11-11 11:32:55.345000+00:00,2022-11-11 11:32:43.964549+00:00,125097030,
,11,95,4,False,2022-11-11 11:44:00+00:00,/app/media/2022/11/11/caja-11-08-44-00..jpg,True,0,Cliente Pagó en SCO,,sco,2022-11-11 11:44:00.180227+00:00,2022-11-11 14:45:32.427702+00:00,1,2022-11-11 11:44:13.320000+00:00,2022-11-11 11:44:01.690665+00:00,125097030,
,0,95,0,False,2022-11-11 11:45:35+00:00,/app/media/2022/11/11/caja-0-08-45-35..jpg,True,0,Cliente Pagó en SCO,,simulacion,2022-11-11 11:45:35.332042+00:00,2022-11-11 14:52:16.668110+00:00,1,2022-11-11 11:45:48.544000+00:00,2022-11-11 11:45:35.613940+00:00,125097030,
,12,95,9,False,2022-11-11 12:06:41+00:00,/app/media/2022/11/11/caja-12-09-06-41..jpg,True,0,Bolsa Reutilizable,,sco,2022-11-11 12:06:41.397237+00:00,2022-11-11 15:06:53.108820+00:00,1,2022-11-11 12:06:54.541000+00:00,2022-11-11 12:06:43.137254+00:00,125097030,
,8,95,3,False,2022-11-11 12:12:30+00:00,/app/media/2022/11/11/caja-8-09-12-30..jpg,True,0,Cliente Pagó en SCO,,sco,2022-11-11 12:12:30.286393+00:00,2022-11-11 15:14:24.336380+00:00,1,2022-11-11 12:12:43.436000+00:00,2022-11-11 12:12:31.928790+00:00,125097030,
,12,95,15,False,2022-11-11 12:30:12+00:00,/app/media/2022/11/11/caja-12-09-30-12..jpg,True,0,Cliente Pagó en SCO,,sco,2022-11-11 12:30:12.632680+00:00,2022-11-11 15:34:03.744096+00:00,1,2022-11-11 12:30:25.853000+00:00,2022-11-11 12:30:14.383592+00:00,125097030,
,0,95,0,False,2022-11-11 13:37:35+00:00,/app/media/2022/11/11/caja-0-10-37-35..jpg,True,0,Cliente Pagó en SCO,,simulacion,2022-11-11 13:37:35.485230+00:00,2022-11-11 16:42:09.707870+00:00,1,2022-11-11 13:37:48.767000+00:00,2022-11-11 13:37:37.437069+00:00,125097030,
,7,95,5,False,2022-11-11 13:38:03+00:00,/app/media/2022/11/11/caja-7-10-38-03..jpg,True,0,Cliente Pagó en SCO,,sco,2022-11-11 13:38:03.376839+00:00,2022-11-11 16:39:33.203036+00:00,1,2022-11-11 13:38:16.585000+00:00,2022-11-11 13:38:03.528868+00:00,125097030,
,2,95,30,False,2022-11-11 13:58:40+00:00,/app/media/2022/11/11/caja-2-10-58-40..jpg,True,0,Cliente Pagó en SCO,,sco,2022-11-11 13:58:40.401924+00:00,2022-11-11 17:00:51.284088+00:00,1,2022-11-11 13:58:53.601000+00:00,2022-11-11 13:58:42.079979+00:00,125097030,
,0,95,0,False,2022-11-11 14:00:59+00:00,/app/media/2022/11/11/caja-0-11-00-59..jpg,True,0,Prueba,,carrazo,2022-11-11 14:00:59.558539+00:00,2022-11-11 17:09:07.766149+00:00,1,,,125097030,
,0,95,0,False,2022-11-11 14:02:14+00:00,/app/media/2022/11/11/caja-0-11-02-14..jpg,True,0,Prueba,,carrazo,2022-11-11 14:02:14.356101+00:00,2022-11-11 17:02:26.841647+00:00,1,2022-11-11 14:02:27.620000+00:00,2022-11-11 14:02:15.933275+00:00,125097030,
,4,95,14,False,2022-11-11 14:14:42+00:00,/app/media/2022/11/11/caja-4-11-14-42..jpg,True,0,Sin Control,,sco,2022-11-11 14:14:42.207822+00:00,2022-11-11 19:20:59.363274+00:00,1,2022-11-11 14:14:55.359000+00:00,2022-11-11 14:14:43.871189+00:00,125097030,
,12,95,39,False,2022-11-11 14:26:21+00:00,/app/media/2022/11/11/caja-12-11-26-21..jpg,True,0,Cliente Pagó en SCO,,sco,2022-11-11 14:26:21.117744+00:00,2022-11-11 17:33:16.308064+00:00,1,2022-11-11 14:26:34.241000+00:00,2022-11-11 14:26:22.809860+00:00,125097030,
