Caja,Sucursal,ID Cámara,¿Alarma?,Fecha y Hora,Imagen,¿Gestionada?,Merma,Motivo Descarte,Recuperación,Tipo de Alerta,Hora Despliegue Alerta,Hora Gestión Alerta,Folio,Fecha Hora Cliente Acuse Recibo,Fecha Hora Servidor Acuse Recibo,Usuario,Detenido
0,3,0,False,2022-10-18 06:49:12+00:00,/app/media/2022/10/18/caja-0-03-49-12..jpg,True,0,Carro Uso Interno,,carrazo,2022-10-18 06:49:12.726976+00:00,2022-10-18 14:30:24.583078+00:00,1,,,157277006,
0,3,0,False,2022-10-18 11:42:14+00:00,/app/media/2022/10/18/caja-0-08-42-14..jpg,True,0,Prueba,,carrazo,2022-10-18 11:42:14.448758+00:00,2022-10-18 14:43:44.830695+00:00,1,2022-10-18 11:19:46.804000+00:00,2022-10-18 11:42:14.660621+00:00,157277006,
0,3,0,False,2022-10-18 12:26:43+00:00,/app/media/2022/10/18/caja-0-09-26-43..jpg,True,0,Cliente Pagó en SCO,,carrazo,2022-10-18 12:26:44.008701+00:00,2022-10-18 15:27:01.696666+00:00,1,2022-10-18 12:04:16.020000+00:00,2022-10-18 12:26:45.602967+00:00,157277006,
10,3,9,False,2022-10-18 12:37:31+00:00,/app/media/2022/10/18/caja-10-09-37-31..jpg,True,0,Intervención Cajera,,sco,2022-10-18 12:37:31.631686+00:00,2022-10-18 15:37:41.490149+00:00,1,2022-10-18 12:15:03.439000+00:00,2022-10-18 12:37:32.864825+00:00,157277006,
3,3,20,False,2022-10-18 13:49:07+00:00,/app/media/2022/10/18/caja-3-10-49-07..jpg,True,0,Cliente Pagó en SCO,,sco,2022-10-18 13:49:07.927093+00:00,2022-10-18 16:50:09.976133+00:00,1,2022-10-18 13:26:39.173000+00:00,2022-10-18 13:49:09.108431+00:00,157277006,
2,3,17,False,2022-10-18 14:53:14+00:00,/app/media/2022/10/18/caja-2-11-53-14..jpg,True,0,Intervención Cajera,,sco,2022-10-18 14:53:14.357453+00:00,2022-10-18 17:53:24.169566+00:00,1,2022-10-18 14:30:45.104000+00:00,2022-10-18 14:53:15.566724+00:00,157277006,
2,3,18,False,2022-10-18 14:55:50+00:00,/app/media/2022/10/18/caja-2-11-55-50..jpg,True,0,Cliente Pagó en SCO,,sco,2022-10-18 14:55:51.000435+00:00,2022-10-18 17:56:17.271557+00:00,1,2022-10-18 14:33:21.763000+00:00,2022-10-18 14:55:52.274319+00:00,157277006,
6,3,16,False,2022-10-18 15:03:42+00:00,/app/media/2022/10/18/caja-6-12-03-42..jpg,True,0,Carro de otro cliente,,sco,2022-10-18 15:03:42.092691+00:00,2022-10-18 18:03:55.604442+00:00,1,2022-10-18 14:41:12.732000+00:00,2022-10-18 15:03:42.255429+00:00,157277006,
10,3,48,False,2022-10-18 15:16:59+00:00,/app/media/2022/10/18/caja-10-12-16-59..jpg,True,0,Carro de otro cliente,,sco,2022-10-18 15:16:59.242489+00:00,2022-10-18 18:17:17.100913+00:00,1,2022-10-18 14:54:29.789000+00:00,2022-10-18 15:17:00.605522+00:00,157277006,
0,3,0,False,2022-10-18 15:22:03+00:00,/app/media/2022/10/18/caja-0-12-22-03..jpg,True,0,Carro Uso Interno,,carrazo,2022-10-18 15:22:03.981310+00:00,2022-10-18 18:22:41.847469+00:00,1,2022-10-18 14:59:34.462000+00:00,2022-10-18 15:22:05.166828+00:00,157277006,
