Zona,Caja,Sucursal,ID Cámara,¿Alarma?,Fecha y Hora,Imagen,¿Gestionada?,Merma,Motivo Descarte,Recuperación,Tipo de Alerta,Hora Despliegue Alerta,Hora Gestión Alerta,Folio,Fecha Hora Cliente Acuse Recibo,Fecha Hora Servidor Acuse Recibo,Usuario,Detenido
,0,95,0,False,2022-11-15 11:46:42+00:00,/app/media/2022/11/15/caja-0-08-46-42..jpg,True,0,Prueba,,carrazo,2022-11-15 11:46:42.524929+00:00,2022-11-15 14:51:59.916587+00:00,1,2022-11-15 11:46:55.605000+00:00,2022-11-15 11:46:44.359895+00:00,125097030,
,0,95,0,False,2022-11-15 12:03:52+00:00,/app/media/2022/11/15/caja-0-09-03-52..jpg,True,0,Prueba,,simulacion,2022-11-15 12:03:52.074892+00:00,2022-11-15 15:04:22.462846+00:00,1,2022-11-15 12:04:05.185000+00:00,2022-11-15 12:03:53.856818+00:00,125097030,
,4,95,3,False,2022-11-15 12:06:28+00:00,/app/media/2022/11/15/caja-4-09-06-28..jpg,True,0,Prueba,,sco,2022-11-15 12:06:28.921180+00:00,2022-11-15 15:07:41.168028+00:00,1,2022-11-15 12:06:41.994000+00:00,2022-11-15 12:06:30.439564+00:00,125097030,
,11,95,6,False,2022-11-15 12:16:50+00:00,/app/media/2022/11/15/caja-11-09-16-50._tmw9V9N.jpg,True,0,Cliente Pagó en SCO,,sco,2022-11-15 12:16:50.525702+00:00,2022-11-15 15:17:00.968979+00:00,1,2022-11-15 12:17:03.562000+00:00,2022-11-15 12:16:52.207875+00:00,125097030,
,0,95,0,False,2022-11-15 13:05:13+00:00,/app/media/2022/11/15/caja-0-10-05-13..jpg,True,0,Cliente Pagó en SCO,,carrazo,2022-11-15 13:05:13.294455+00:00,2022-11-15 16:05:22.705240+00:00,1,2022-11-15 13:05:26.475000+00:00,2022-11-15 13:05:15.281086+00:00,125097030,
,0,95,0,False,2022-11-15 14:43:58+00:00,/app/media/2022/11/15/caja-0-11-43-58..jpg,True,0,Cliente Pagó en SCO,,simulacion,2022-11-15 14:43:58.493687+00:00,2022-11-15 17:44:33.617340+00:00,1,2022-11-15 14:44:11.623000+00:00,2022-11-15 14:44:00.581310+00:00,125097030,
,11,95,39,False,2022-11-15 15:11:09+00:00,/app/media/2022/11/15/caja-11-12-11-09..jpg,True,0,Cliente Pagó en SCO,,sco,2022-11-15 15:11:09.480423+00:00,2022-11-15 18:11:59.323691+00:00,1,2022-11-15 15:11:22.650000+00:00,2022-11-15 15:11:11.061914+00:00,125097030,
,10,95,20,False,2022-11-15 15:14:27+00:00,/app/media/2022/11/15/caja-10-12-14-27..jpg,True,0,Cliente Pagó en SCO,,sco,2022-11-15 15:14:27.516270+00:00,2022-11-15 18:15:53.413840+00:00,1,2022-11-15 15:14:40.699000+00:00,2022-11-15 15:14:29.247367+00:00,125097030,
,0,95,0,False,2022-11-15 15:56:39+00:00,/app/media/2022/11/15/caja-0-12-56-39..jpg,True,0,Cliente Pagó en SCO,,carrazo,2022-11-15 15:56:39.265768+00:00,2022-11-15 18:58:38.221750+00:00,1,2022-11-15 15:56:52.514000+00:00,2022-11-15 15:56:41.207645+00:00,125097030,
,0,95,0,False,2022-11-15 16:18:20+00:00,/app/media/2022/11/15/caja-0-13-18-20..jpg,True,0,Cliente Pagó en SCO,,carrazo,2022-11-15 16:18:20.772295+00:00,2022-11-15 19:18:38.781915+00:00,1,2022-11-15 16:18:33.993000+00:00,2022-11-15 16:18:22.480715+00:00,125097030,
,9,95,37,False,2022-11-15 16:48:43+00:00,/app/media/2022/11/15/caja-9-13-48-43..jpg,True,0,Error de Reconocimiento,,sco,2022-11-15 16:48:43.376738+00:00,2022-11-15 19:48:54.738564+00:00,1,2022-11-15 16:48:56.570000+00:00,2022-11-15 16:48:45.463908+00:00,125097030,
,7,95,16,False,2022-11-15 17:01:09+00:00,/app/media/2022/11/15/caja-7-14-01-09..jpg,True,0,Error de Reconocimiento,,sco,2022-11-15 17:01:09.238187+00:00,2022-11-15 20:01:20.975173+00:00,1,2022-11-15 17:01:22.419000+00:00,2022-11-15 17:01:10.905873+00:00,125097030,
,0,95,0,False,2022-11-15 17:17:17+00:00,/app/media/2022/11/15/caja-0-14-17-17..jpg,True,0,Cliente Pagó en SCO,,carrazo,2022-11-15 17:17:17.929242+00:00,2022-11-15 20:17:59.358832+00:00,1,2022-11-15 17:17:31.138000+00:00,2022-11-15 17:17:19.626982+00:00,125097030,
,6,95,22,False,2022-11-15 17:42:51+00:00,/app/media/2022/11/15/caja-6-14-42-51..jpg,True,0,Error de Reconocimiento,,sco,2022-11-15 17:42:51.700945+00:00,2022-11-15 21:02:58.540085+00:00,1,2022-11-15 17:43:04.900000+00:00,2022-11-15 17:42:53.268410+00:00,125097030,
,12,95,74,False,2022-11-15 17:46:25+00:00,/app/media/2022/11/15/caja-12-14-46-25..jpg,True,0,Carro Vacío,,sco,2022-11-15 17:46:25.584316+00:00,2022-11-15 21:05:58.827924+00:00,1,2022-11-15 17:46:38.805000+00:00,2022-11-15 17:46:25.802127+00:00,125097030,
