Caja,Sucursal,ID Cámara,¿Alarma?,Fecha y Hora,Imagen,¿Gestionada?,Merma,Motivo Descarte,Recuperación,Tipo de Alerta,Hora Despliegue Alerta,Hora Gestión Alerta,Folio,Fecha Hora Cliente Acuse Recibo,Fecha Hora Servidor Acuse Recibo,Usuario,Detenido
0,3,0,False,2022-10-10 13:51:28+00:00,/app/media/2022/10/10/caja-0-10-51-28..jpg,True,0,Prueba,,carrazo,2022-10-10 13:51:29.010885+00:00,2022-10-10 16:52:13.129061+00:00,1,2022-10-10 13:30:39.003000+00:00,2022-10-10 13:51:30.237185+00:00,166477921,
8,3,8,False,2022-10-10 14:19:05+00:00,/app/media/2022/10/10/caja-8-11-19-05..jpg,True,0,Error de Reconocimiento,,sco,2022-10-10 14:19:06.141256+00:00,2022-10-10 17:21:07.815158+00:00,1,2022-10-10 13:58:21.763000+00:00,2022-10-10 14:19:13.193575+00:00,166477921,
3,3,17,False,2022-10-10 14:50:19+00:00,/app/media/2022/10/10/caja-3-11-50-19..jpg,True,0,Cliente Pagó en SCO,,sco,2022-10-10 14:50:20.183180+00:00,2022-10-10 17:50:32.826781+00:00,1,2022-10-10 14:29:29.723000+00:00,2022-10-10 14:50:21.432582+00:00,166477921,
10,3,31,False,2022-10-10 15:28:59+00:00,/app/media/2022/10/10/caja-10-12-28-59..jpg,True,0,Carro de otro cliente,,sco,2022-10-10 15:29:00.118691+00:00,2022-10-10 18:29:31.164745+00:00,1,2022-10-10 15:08:31.991000+00:00,2022-10-10 15:29:24.038144+00:00,166477921,
0,3,0,False,2022-10-10 15:41:04+00:00,/app/media/2022/10/10/caja-0-12-41-04..jpg,True,0,Cliente Pagó en SCO,,carrazo,2022-10-10 15:41:05.484980+00:00,2022-10-10 18:41:21.931774+00:00,1,2022-10-10 15:20:14.517000+00:00,2022-10-10 15:41:06.662204+00:00,166477921,
7,3,21,False,2022-10-10 15:42:22+00:00,/app/media/2022/10/10/caja-7-12-42-22..jpg,True,0,Intervención Cajera,,sco,2022-10-10 15:42:22.561407+00:00,2022-10-10 18:42:47.581900+00:00,1,2022-10-10 15:21:31.600000+00:00,2022-10-10 15:42:23.601589+00:00,166477921,
10,3,37,True,2022-10-10 15:47:44+00:00,/app/media/2022/10/10/caja-10-12-47-44..jpg,True,0,,False,sco,2022-10-10 15:47:44.716901+00:00,2022-10-10 18:50:32.754913+00:00,1,2022-10-10 15:26:53.723000+00:00,2022-10-10 15:47:45.925831+00:00,166477921,
2,3,35,False,2022-10-10 16:27:54+00:00,/app/media/2022/10/10/caja-2-13-27-54..jpg,True,0,Carro de otro cliente,,sco,2022-10-10 16:27:54.212386+00:00,2022-10-10 19:28:04.980564+00:00,1,2022-10-10 16:07:02.950000+00:00,2022-10-10 16:27:55.392537+00:00,166477921,
7,3,42,False,2022-10-10 16:50:40+00:00,/app/media/2022/10/10/caja-7-13-50-40..jpg,True,0,Bolsa Reutilizable,,sco,2022-10-10 16:50:40.095437+00:00,2022-10-10 19:50:52.941755+00:00,1,2022-10-10 16:29:48.632000+00:00,2022-10-10 16:50:41.295807+00:00,166477921,
2,3,49,False,2022-10-10 17:17:23+00:00,/app/media/2022/10/10/caja-2-14-17-23..jpg,True,0,Cliente Pagó en SCO,,sco,2022-10-10 17:17:23.254169+00:00,2022-10-10 20:17:34.745299+00:00,1,2022-10-10 16:56:31.503000+00:00,2022-10-10 17:17:24.355456+00:00,166477921,
