Zona,Caja,Sucursal,ID Cámara,¿Alarma?,Fecha y Hora,Imagen,¿Gestionada?,Merma,Motivo Descarte,Recuperación,Tipo de Alerta,Hora Despliegue Alerta,Hora Gestión Alerta,Folio,Fecha Hora Cliente Acuse Recibo,Fecha Hora Servidor Acuse Recibo,Usuario,Detenido
,0,95,0,False,2022-11-14 11:57:43+00:00,/app/media/2022/11/14/caja-0-08-57-43..jpg,True,0,Prueba,,carrazo,2022-11-14 11:57:43.571401+00:00,2022-11-14 14:58:20.689321+00:00,1,2022-11-14 11:57:58.549000+00:00,2022-11-14 11:57:46.282160+00:00,125097030,
,2,95,3,False,2022-11-14 12:00:47+00:00,/app/media/2022/11/14/caja-2-09-00-47..jpg,True,0,Prueba,,sco,2022-11-14 12:00:47.556380+00:00,2022-11-14 15:01:03.122869+00:00,1,2022-11-14 12:01:02.415000+00:00,2022-11-14 12:00:49.235764+00:00,125097030,
,1,95,17,False,2022-11-14 13:51:23+00:00,/app/media/2022/11/14/caja-1-10-51-23..jpg,True,0,Cliente Pagó en SCO,,sco,2022-11-14 13:51:23.493132+00:00,2022-11-14 16:51:36.232861+00:00,1,2022-11-14 13:51:38.557000+00:00,2022-11-14 13:51:25.297778+00:00,125097030,
,8,95,4,False,2022-11-14 14:03:13+00:00,/app/media/2022/11/14/caja-8-11-03-13..jpg,True,0,Bolsa Reutilizable,,sco,2022-11-14 14:03:13.267163+00:00,2022-11-14 17:03:22.703205+00:00,1,2022-11-14 14:03:28.278000+00:00,2022-11-14 14:03:15.017836+00:00,125097030,
,12,95,29,False,2022-11-14 14:44:33+00:00,/app/media/2022/11/14/caja-12-11-44-33..jpg,True,0,Cliente Pagó en SCO,,sco,2022-11-14 14:44:33.358401+00:00,2022-11-14 17:53:32.523460+00:00,1,2022-11-14 14:44:48.432000+00:00,2022-11-14 14:44:35.048559+00:00,125097030,
,0,95,0,False,2022-11-14 15:11:11+00:00,/app/media/2022/11/14/caja-0-12-11-11..jpg,True,0,Cliente Pagó en SCO,,simulacion,2022-11-14 15:11:11.231270+00:00,2022-11-14 18:12:03.671894+00:00,1,2022-11-14 15:11:26.317000+00:00,2022-11-14 15:11:13.042185+00:00,125097030,
,10,95,22,False,2022-11-14 15:14:06+00:00,/app/media/2022/11/14/caja-10-12-14-06..jpg,True,0,Bolsa Reutilizable,,sco,2022-11-14 15:14:06.172128+00:00,2022-11-14 18:14:15.712934+00:00,1,2022-11-14 15:14:21.215000+00:00,2022-11-14 15:14:07.887925+00:00,125097030,
,12,95,37,False,2022-11-14 15:24:40+00:00,/app/media/2022/11/14/caja-12-12-24-40..jpg,True,0,Bolsa Reutilizable,,sco,2022-11-14 15:24:40.437385+00:00,2022-11-14 18:24:55.670900+00:00,1,2022-11-14 15:24:55.489000+00:00,2022-11-14 15:24:42.020684+00:00,125097030,
,0,95,0,False,2022-11-14 15:32:52+00:00,/app/media/2022/11/14/caja-0-12-32-52..jpg,True,0,Cliente Pagó en SCO,,carrazo,2022-11-14 15:32:52.089505+00:00,2022-11-14 18:33:14.854026+00:00,1,2022-11-14 15:33:07.121000+00:00,2022-11-14 15:32:53.740783+00:00,125097030,
,11,95,36,False,2022-11-14 15:34:18+00:00,/app/media/2022/11/14/caja-11-12-34-18..jpg,True,0,Bolsa Reutilizable,,sco,2022-11-14 15:34:18.401605+00:00,2022-11-14 18:34:28.969060+00:00,1,2022-11-14 15:34:33.440000+00:00,2022-11-14 15:34:20.033814+00:00,125097030,
,10,95,32,False,2022-11-14 16:06:40+00:00,/app/media/2022/11/14/caja-10-13-06-40..jpg,True,0,Cliente Pagó en SCO,,sco,2022-11-14 16:06:40.671730+00:00,2022-11-14 19:06:49.827011+00:00,1,2022-11-14 16:06:55.799000+00:00,2022-11-14 16:06:42.212628+00:00,125097030,
,11,95,46,False,2022-11-14 16:14:18+00:00,/app/media/2022/11/14/caja-11-13-14-18..jpg,True,0,Cliente Pagó en SCO,,sco,2022-11-14 16:14:18.274982+00:00,2022-11-14 19:14:33.837648+00:00,1,2022-11-14 16:14:33.419000+00:00,2022-11-14 16:14:20.049704+00:00,125097030,
,7,95,17,False,2022-11-14 16:16:23+00:00,/app/media/2022/11/14/caja-7-13-16-23..jpg,True,0,Error de Reconocimiento,,sco,2022-11-14 16:16:24.062038+00:00,2022-11-14 19:16:35.591127+00:00,1,2022-11-14 16:16:39.176000+00:00,2022-11-14 16:16:25.826186+00:00,125097030,
,6,95,12,False,2022-11-14 16:17:08+00:00,/app/media/2022/11/14/caja-6-13-17-08..jpg,True,0,Cliente Pagó en SCO,,sco,2022-11-14 16:17:08.412957+00:00,2022-11-14 19:21:21.692207+00:00,1,2022-11-14 16:17:23.510000+00:00,2022-11-14 16:17:08.598403+00:00,125097030,
,7,95,18,False,2022-11-14 16:30:53+00:00,/app/media/2022/11/14/caja-7-13-30-53..jpg,True,0,Cliente Pagó en SCO,,sco,2022-11-14 16:30:53.210503+00:00,2022-11-14 19:31:09.365719+00:00,1,2022-11-14 16:31:08.359000+00:00,2022-11-14 16:30:54.908390+00:00,125097030,
,10,95,39,False,2022-11-14 16:34:43+00:00,/app/media/2022/11/14/caja-10-13-34-43..jpg,True,0,Cliente Pagó en SCO,,sco,2022-11-14 16:34:43.466030+00:00,2022-11-14 19:35:24.525750+00:00,1,2022-11-14 16:34:58.554000+00:00,2022-11-14 16:34:45.111414+00:00,125097030,
,12,95,54,False,2022-11-14 16:44:10+00:00,/app/media/2022/11/14/caja-12-13-44-10..jpg,True,0,Cliente Pagó en SCO,,sco,2022-11-14 16:44:10.869041+00:00,2022-11-14 19:45:44.594462+00:00,1,2022-11-14 16:44:25.853000+00:00,2022-11-14 16:44:13.324574+00:00,125097030,
,9,95,29,False,2022-11-14 16:45:14+00:00,/app/media/2022/11/14/caja-9-13-45-14..jpg,True,0,Error de Reconocimiento,,sco,2022-11-14 16:45:14.287307+00:00,2022-11-14 19:45:24.429368+00:00,1,2022-11-14 16:45:29.235000+00:00,2022-11-14 16:45:14.487050+00:00,125097030,
,11,95,55,False,2022-11-14 16:50:16+00:00,/app/media/2022/11/14/caja-11-13-50-16..jpg,True,0,Cliente Pagó en SCO,,sco,2022-11-14 16:50:16.658085+00:00,2022-11-14 19:50:38.578253+00:00,1,2022-11-14 16:50:31.637000+00:00,2022-11-14 16:50:18.392202+00:00,125097030,
,10,95,52,False,2022-11-14 17:59:40+00:00,/app/media/2022/11/14/caja-10-14-59-40..jpg,True,0,Cliente Pagó en SCO,,sco,2022-11-14 17:59:40.929484+00:00,2022-11-14 20:59:51.271853+00:00,1,2022-11-14 17:59:56.011000+00:00,2022-11-14 17:59:42.812698+00:00,125097030,
,10,95,55,False,2022-11-14 18:47:17+00:00,/app/media/2022/11/14/caja-10-15-47-17..jpg,True,0,Sin Control,,sco,2022-11-14 18:47:17.526529+00:00,2022-11-14 21:59:41.273845+00:00,1,2022-11-14 18:47:32.590000+00:00,2022-11-14 18:47:19.087309+00:00,125097030,
,9,95,43,False,2022-11-14 19:36:30+00:00,/app/media/2022/11/14/caja-9-16-36-30..jpg,True,0,Cliente lleva productos cancelados previamente,,sco,2022-11-14 19:36:30.923750+00:00,2022-11-14 22:36:54.747043+00:00,1,2022-11-14 19:36:46.046000+00:00,2022-11-14 19:36:32.469734+00:00,125097030,
,10,95,66,False,2022-11-14 20:16:33+00:00,/app/media/2022/11/14/caja-10-17-16-33..jpg,True,0,Cliente lleva productos cancelados previamente,,sco,2022-11-14 20:16:33.596873+00:00,2022-11-14 23:18:36.869798+00:00,1,2022-11-14 20:16:48.797000+00:00,2022-11-14 20:16:35.261382+00:00,125097030,
,10,95,68,False,2022-11-14 20:28:21+00:00,/app/media/2022/11/14/caja-10-17-28-21..jpg,True,0,Cliente Pagó en SCO,,sco,2022-11-14 20:28:22.067321+00:00,2022-11-14 23:28:30.460432+00:00,1,2022-11-14 20:28:37.210000+00:00,2022-11-14 20:28:23.782073+00:00,125097030,
,0,95,0,False,2022-11-14 20:32:50+00:00,/app/media/2022/11/14/caja-0-17-32-50..jpg,True,0,Cliente Pagó en SCO,,carrazo,2022-11-14 20:32:50.664039+00:00,2022-11-14 23:33:38.851098+00:00,1,2022-11-14 20:33:05.804000+00:00,2022-11-14 20:32:52.337464+00:00,125097030,
,11,95,94,False,2022-11-14 20:36:11+00:00,/app/media/2022/11/14/caja-11-17-36-11..jpg,True,0,Cliente Pagó en SCO,,sco,2022-11-14 20:36:11.559789+00:00,2022-11-14 23:36:25.397082+00:00,1,2022-11-14 20:36:26.729000+00:00,2022-11-14 20:36:13.222758+00:00,125097030,
,0,95,0,False,2022-11-14 20:47:14+00:00,/app/media/2022/11/14/caja-0-17-47-14..jpg,True,0,Cliente Pagó en SCO,,simulacion,2022-11-14 20:47:15.026443+00:00,2022-11-14 23:49:56.124605+00:00,1,2022-11-14 20:47:30.180000+00:00,2022-11-14 20:47:16.799974+00:00,125097030,
,11,95,97,False,2022-11-14 20:49:24+00:00,/app/media/2022/11/14/caja-11-17-49-24..jpg,True,0,Cliente Pagó en SCO,,sco,2022-11-14 20:49:25.064004+00:00,2022-11-14 23:49:35.675710+00:00,1,2022-11-14 20:49:40.222000+00:00,2022-11-14 20:49:25.271797+00:00,125097030,
,12,95,98,False,2022-11-14 21:02:24+00:00,/app/media/2022/11/14/caja-12-18-02-24..jpg,True,0,Cliente Pagó en SCO,,sco,2022-11-14 21:02:24.905473+00:00,2022-11-15 00:03:26.679502+00:00,1,2022-11-14 21:02:40.131000+00:00,2022-11-14 21:02:26.704629+00:00,125097030,
,3,95,70,False,2022-11-14 21:04:02+00:00,/app/media/2022/11/14/caja-3-18-04-02..jpg,True,0,Cliente Pagó en SCO,,sco,2022-11-14 21:04:02.777001+00:00,2022-11-15 00:04:12.695780+00:00,1,2022-11-14 21:04:18.028000+00:00,2022-11-14 21:04:02.976701+00:00,125097030,
