Caja,Sucursal,ID Cámara,¿Alarma?,Fecha y Hora,Imagen,¿Gestionada?,Merma,Motivo Descarte,Recuperación,Tipo de Alerta,Hora Despliegue Alerta,Hora Gestión Alerta,Folio,Fecha Hora Cliente Acuse Recibo,Fecha Hora Servidor Acuse Recibo,Usuario,Detenido
10,3,5,False,2022-09-22 11:58:02+00:00,/app/media/2022/09/22/caja-10-08-58-02..jpg,True,0,Error de Reconocimiento,,sco,2022-09-22 11:58:02.571217+00:00,2022-09-22 14:59:43.592526+00:00,1,,,166477921,
10,3,6,False,2022-09-22 12:04:18+00:00,/app/media/2022/09/22/caja-10-09-04-18..jpg,True,0,Error de Reconocimiento,,sco,2022-09-22 12:04:18.507077+00:00,2022-09-22 15:04:29.035901+00:00,1,2022-09-22 11:47:09.785000+00:00,2022-09-22 12:04:18.676809+00:00,166477921,
9,3,3,False,2022-09-22 12:20:26+00:00,/app/media/2022/09/22/caja-9-09-20-26..jpg,True,0,Bolsa Reutilizable,,sco,2022-09-22 12:20:26.762265+00:00,2022-09-22 15:20:44.288442+00:00,1,2022-09-22 12:03:17.926000+00:00,2022-09-22 12:20:27.851746+00:00,166477921,
10,3,8,False,2022-09-22 12:25:20+00:00,/app/media/2022/09/22/caja-10-09-25-20..jpg,True,0,Bolsa Reutilizable,,sco,2022-09-22 12:25:20.314955+00:00,2022-09-22 15:25:31.824779+00:00,1,2022-09-22 12:08:11.429000+00:00,2022-09-22 12:25:21.547990+00:00,166477921,
2,3,2,False,2022-09-22 12:37:13+00:00,/app/media/2022/09/22/caja-2-09-37-13..jpg,True,0,Error de Reconocimiento,,sco,2022-09-22 12:37:13.152603+00:00,2022-09-22 15:37:35.238204+00:00,1,2022-09-22 12:20:04.190000+00:00,2022-09-22 12:37:13.355439+00:00,166477921,
7,3,2,False,2022-09-22 12:42:02+00:00,/app/media/2022/09/22/caja-7-09-42-02..jpg,True,0,Error de Reconocimiento,,sco,2022-09-22 12:42:02.377032+00:00,2022-09-22 15:42:09.243582+00:00,1,2022-09-22 12:24:53.303000+00:00,2022-09-22 12:42:03.469198+00:00,166477921,
6,3,3,False,2022-09-22 14:06:35+00:00,/app/media/2022/09/22/caja-6-11-06-35..jpg,True,0,Error de Reconocimiento,,sco,2022-09-22 14:06:36.085911+00:00,2022-09-22 17:06:50.944267+00:00,1,2022-09-22 13:49:26.415000+00:00,2022-09-22 14:06:37.296553+00:00,166477921,
2,3,9,False,2022-09-22 14:13:07+00:00,/app/media/2022/09/22/caja-2-11-13-07..jpg,True,0,Carro de otro cliente,,sco,2022-09-22 14:13:07.090262+00:00,2022-09-22 17:13:14.992192+00:00,1,2022-09-22 13:55:57.256000+00:00,2022-09-22 14:13:08.168401+00:00,166477921,
10,3,27,False,2022-09-22 14:33:25+00:00,/app/media/2022/09/22/caja-10-11-33-25..jpg,True,0,Multicompra,,sco,2022-09-22 14:33:25.780739+00:00,2022-09-22 17:34:31.966843+00:00,1,2022-09-22 14:16:15.875000+00:00,2022-09-22 14:33:26.949334+00:00,166477921,
10,3,28,False,2022-09-22 14:35:41+00:00,/app/media/2022/09/22/caja-10-11-35-41..jpg,True,0,Bolsa Reutilizable,,sco,2022-09-22 14:35:41.145434+00:00,2022-09-22 17:38:59.891420+00:00,1,2022-09-22 14:18:31.124000+00:00,2022-09-22 14:35:42.225585+00:00,166477921,
1,3,21,False,2022-09-22 14:47:19+00:00,/app/media/2022/09/22/caja-1-11-47-19..jpg,True,0,Error de Reconocimiento,,sco,2022-09-22 14:47:19.784240+00:00,2022-09-22 17:47:33.203234+00:00,1,2022-09-22 14:30:09.690000+00:00,2022-09-22 14:47:20.946728+00:00,166477921,
10,3,32,False,2022-09-22 14:55:20+00:00,/app/media/2022/09/22/caja-10-11-55-20..jpg,True,0,Carro Vacío,,sco,2022-09-22 14:55:21.155405+00:00,2022-09-22 17:55:57.529100+00:00,1,2022-09-22 14:38:10.988000+00:00,2022-09-22 14:55:22.278291+00:00,166477921,
10,3,33,False,2022-09-22 15:04:34+00:00,/app/media/2022/09/22/caja-10-12-04-34..jpg,True,0,Carro de otro cliente,,sco,2022-09-22 15:04:34.834373+00:00,2022-09-22 18:04:42.961333+00:00,1,2022-09-22 14:47:24.670000+00:00,2022-09-22 15:04:35.985601+00:00,166477921,
10,3,34,False,2022-09-22 15:05:39+00:00,/app/media/2022/09/22/caja-10-12-05-39..jpg,True,0,Carro de otro cliente,,sco,2022-09-22 15:05:39.727496+00:00,2022-09-22 18:05:53.441808+00:00,1,2022-09-22 14:48:29.532000+00:00,2022-09-22 15:05:39.909240+00:00,166477921,
10,3,35,False,2022-09-22 15:07:12+00:00,/app/media/2022/09/22/caja-10-12-07-12..jpg,True,0,Carro de otro cliente,,sco,2022-09-22 15:07:12.510365+00:00,2022-09-22 18:09:32.463518+00:00,1,2022-09-22 14:50:02.291000+00:00,2022-09-22 15:07:12.689436+00:00,166477921,
10,3,36,False,2022-09-22 15:11:44+00:00,/app/media/2022/09/22/caja-10-12-11-44..jpg,True,0,Carro Vacío,,sco,2022-09-22 15:11:44.328411+00:00,2022-09-22 18:12:02.467426+00:00,1,2022-09-22 14:54:34.062000+00:00,2022-09-22 15:11:45.531236+00:00,166477921,
6,3,9,False,2022-09-22 15:15:34+00:00,/app/media/2022/09/22/caja-6-12-15-34..jpg,True,0,Carro Vacío,,sco,2022-09-22 15:15:34.367517+00:00,2022-09-22 18:16:00.243884+00:00,1,2022-09-22 14:58:24.059000+00:00,2022-09-22 15:15:35.563827+00:00,166477921,
10,3,41,False,2022-09-22 15:27:01+00:00,/app/media/2022/09/22/caja-10-12-27-01..jpg,True,0,Carro de otro cliente,,sco,2022-09-22 15:27:01.888621+00:00,2022-09-22 18:27:09.686570+00:00,1,2022-09-22 15:09:51.552000+00:00,2022-09-22 15:27:02.113989+00:00,166477921,
7,3,19,False,2022-09-22 15:34:12+00:00,/app/media/2022/09/22/caja-7-12-34-12..jpg,True,0,Carro de otro cliente,,sco,2022-09-22 15:34:12.269372+00:00,2022-09-22 18:34:23.133279+00:00,1,2022-09-22 15:17:01.825000+00:00,2022-09-22 15:34:12.475102+00:00,166477921,
7,3,20,False,2022-09-22 15:35:51+00:00,/app/media/2022/09/22/caja-7-12-35-51..jpg,True,0,Intervención Cajera,,sco,2022-09-22 15:35:51.620177+00:00,2022-09-22 18:36:01.965839+00:00,1,2022-09-22 15:18:41.153000+00:00,2022-09-22 15:35:51.786724+00:00,166477921,
3,3,27,False,2022-09-22 15:40:08+00:00,/app/media/2022/09/22/caja-3-12-40-08..jpg,True,0,Error de Reconocimiento,,sco,2022-09-22 15:40:08.989089+00:00,2022-09-22 18:40:20.108640+00:00,1,2022-09-22 15:22:58.505000+00:00,2022-09-22 15:40:09.178796+00:00,166477921,
10,3,48,False,2022-09-22 15:48:25+00:00,/app/media/2022/09/22/caja-10-12-48-25..jpg,True,0,Carro de otro cliente,,sco,2022-09-22 15:48:25.536394+00:00,2022-09-22 18:48:37.163597+00:00,1,2022-09-22 15:31:15.026000+00:00,2022-09-22 15:48:26.749250+00:00,166477921,
9,3,37,False,2022-09-22 16:05:31+00:00,/app/media/2022/09/22/caja-9-13-05-31..jpg,True,0,Carro de otro cliente,,sco,2022-09-22 16:05:32.097762+00:00,2022-09-22 19:05:42.922932+00:00,1,2022-09-22 15:48:21.446000+00:00,2022-09-22 16:05:33.225928+00:00,166477921,
10,3,53,False,2022-09-22 16:14:06+00:00,/app/media/2022/09/22/caja-10-13-14-06..jpg,True,0,Bolsa Reutilizable,,sco,2022-09-22 16:14:06.960466+00:00,2022-09-22 19:14:18.733985+00:00,1,2022-09-22 15:56:56.171000+00:00,2022-09-22 16:14:08.082281+00:00,166477921,
6,3,19,False,2022-09-22 16:16:01+00:00,/app/media/2022/09/22/caja-6-13-16-01..jpg,True,0,Carro de otro cliente,,sco,2022-09-22 16:16:01.485757+00:00,2022-09-22 19:41:38.593966+00:00,1,2022-09-22 15:58:50.649000+00:00,2022-09-22 16:16:02.444075+00:00,166477921,
8,3,21,False,2022-09-22 16:21:19+00:00,/app/media/2022/09/22/caja-8-13-21-19..jpg,True,0,Bolsa Reutilizable,,sco,2022-09-22 16:21:19.369673+00:00,2022-09-22 19:21:27.294663+00:00,1,2022-09-22 16:04:08.477000+00:00,2022-09-22 16:21:19.484283+00:00,166477921,
6,3,22,False,2022-09-22 16:30:23+00:00,/app/media/2022/09/22/caja-6-13-30-23..jpg,True,0,Error de Reconocimiento,,sco,2022-09-22 16:30:23.582257+00:00,2022-09-22 19:30:43.189946+00:00,1,2022-09-22 16:13:17.981000+00:00,2022-09-22 16:30:29.055860+00:00,166477921,
8,3,25,False,2022-09-22 16:41:10+00:00,/app/media/2022/09/22/caja-8-13-41-10..jpg,True,0,Error de Reconocimiento,,sco,2022-09-22 16:41:10.217161+00:00,2022-09-22 19:41:22.504571+00:00,1,2022-09-22 16:23:59.211000+00:00,2022-09-22 16:41:11.386258+00:00,166477921,
5,3,33,False,2022-09-22 16:48:50+00:00,/app/media/2022/09/22/caja-5-13-48-50..jpg,True,0,Error de Reconocimiento,,sco,2022-09-22 16:48:50.302986+00:00,2022-09-22 19:49:00.632357+00:00,1,2022-09-22 16:31:39.198000+00:00,2022-09-22 16:48:50.444659+00:00,166477921,
3,3,48,False,2022-09-22 16:56:48+00:00,/app/media/2022/09/22/caja-3-13-56-48..jpg,True,0,Error de Reconocimiento,,sco,2022-09-22 16:56:48.304606+00:00,2022-09-22 19:57:01.058176+00:00,1,2022-09-22 16:39:37.158000+00:00,2022-09-22 16:56:49.424396+00:00,166477921,
7,3,38,False,2022-09-22 16:57:04+00:00,/app/media/2022/09/22/caja-7-13-57-04..jpg,True,0,Error de Reconocimiento,,sco,2022-09-22 16:57:04.865461+00:00,2022-09-22 19:58:05.182335+00:00,1,,,166477921,
4,3,23,False,2022-09-22 16:57:45+00:00,/app/media/2022/09/22/caja-4-13-57-45..jpg,True,0,Carro de otro cliente,,sco,2022-09-22 16:57:45.227656+00:00,2022-09-22 19:57:54.772362+00:00,1,2022-09-22 16:40:34.087000+00:00,2022-09-22 16:57:46.206779+00:00,166477921,
3,3,51,False,2022-09-22 17:06:12+00:00,/app/media/2022/09/22/caja-3-14-06-12..jpg,True,0,Bolsa Reutilizable,,sco,2022-09-22 17:06:12.444445+00:00,2022-09-22 20:06:25.888258+00:00,1,2022-09-22 16:49:01.183000+00:00,2022-09-22 17:06:13.460565+00:00,166477921,
6,3,32,False,2022-09-22 17:10:37+00:00,/app/media/2022/09/22/caja-6-14-10-37..jpg,True,0,Carro Vacío,,sco,2022-09-22 17:10:37.498511+00:00,2022-09-22 20:10:54.518294+00:00,1,2022-09-22 16:53:26.269000+00:00,2022-09-22 17:10:37.675930+00:00,166477921,
1,3,51,False,2022-09-22 17:10:58+00:00,/app/media/2022/09/22/caja-1-14-10-58..jpg,True,0,Bolsa Reutilizable,,sco,2022-09-22 17:10:58.376522+00:00,2022-09-22 20:35:18.556557+00:00,1,,,166477921,
5,3,42,False,2022-09-22 17:18:42+00:00,/app/media/2022/09/22/caja-5-14-18-42..jpg,True,0,Carro Vacío,,sco,2022-09-22 17:18:42.351700+00:00,2022-09-22 20:18:55.239288+00:00,1,2022-09-22 17:01:31.028000+00:00,2022-09-22 17:18:43.412132+00:00,166477921,
5,3,43,False,2022-09-22 17:19:35+00:00,/app/media/2022/09/22/caja-5-14-19-35..jpg,True,0,Bolsa Reutilizable,,sco,2022-09-22 17:19:35.905547+00:00,2022-09-22 20:21:10.020765+00:00,1,2022-09-22 17:02:24.611000+00:00,2022-09-22 17:19:36.068694+00:00,166477921,
