Caja,Sucursal,ID Cámara,¿Alarma?,Fecha y Hora,Imagen,¿Gestionada?,Merma,Motivo Descarte,Recuperación,Tipo de Alerta,Hora Despliegue Alerta,Hora Gestión Alerta,Folio,Fecha Hora Cliente Acuse Recibo,Fecha Hora Servidor Acuse Recibo,Usuario,Detenido
6,121,7,False,2022-08-31 12:50:09+00:00,/app/media/2022/08/31/caja-6-08-50-09..jpg,True,0,Bolsa Reutilizable,,sco,2022-08-31 12:50:09.780664+00:00,2022-08-31 16:50:32.435903+00:00,1,2022-08-31 12:48:20.192000+00:00,2022-08-31 12:50:09.979306+00:00,142205394,
0,121,0,False,2022-08-31 13:46:32+00:00,/app/media/2022/08/31/caja-0-09-46-32..jpg,True,0,Prueba,,carrazo,2022-08-31 13:46:32.284210+00:00,2022-08-31 17:47:29.982119+00:00,1,2022-08-31 13:44:42.658000+00:00,2022-08-31 13:46:32.407552+00:00,142205394,
4,121,8,False,2022-08-31 14:01:17+00:00,/app/media/2022/08/31/caja-4-10-01-17..jpg,True,0,Intervención Cajera,,sco,2022-08-31 14:01:17.778914+00:00,2022-08-31 18:01:52.554084+00:00,1,2022-08-31 13:59:28.129000+00:00,2022-08-31 14:01:17.931093+00:00,142205394,
5,121,15,False,2022-08-31 14:21:44+00:00,/app/media/2022/08/31/caja-5-10-21-44..jpg,True,0,Bolsa Reutilizable,,sco,2022-08-31 14:21:44.662398+00:00,2022-08-31 18:22:00.690298+00:00,1,2022-08-31 14:19:55.009000+00:00,2022-08-31 14:21:44.800530+00:00,142205394,
6,121,15,False,2022-08-31 14:24:59+00:00,/app/media/2022/08/31/caja-6-10-24-59..jpg,True,0,Carro de otro cliente,,sco,2022-08-31 14:24:59.863069+00:00,2022-08-31 18:25:20.391720+00:00,1,2022-08-31 14:23:10.210000+00:00,2022-08-31 14:24:59.985238+00:00,142205394,
6,121,16,False,2022-08-31 14:34:24+00:00,/app/media/2022/08/31/caja-6-10-34-24..jpg,True,0,Carro de otro cliente,,sco,2022-08-31 14:34:24.137188+00:00,2022-08-31 18:34:52.497693+00:00,1,2022-08-31 14:32:34.483000+00:00,2022-08-31 14:34:24.257978+00:00,142205394,
5,121,18,False,2022-08-31 14:35:08+00:00,/app/media/2022/08/31/caja-5-10-35-08..jpg,True,0,Error de Reconocimiento,,sco,2022-08-31 14:35:08.312925+00:00,2022-08-31 18:35:20.766265+00:00,1,2022-08-31 14:33:18.654000+00:00,2022-08-31 14:35:08.351413+00:00,142205394,
6,121,17,False,2022-08-31 14:35:41+00:00,/app/media/2022/08/31/caja-6-10-35-41..jpg,True,0,Carro de otro cliente,,sco,2022-08-31 14:35:42.003892+00:00,2022-08-31 18:35:51.785724+00:00,1,2022-08-31 14:33:52.346000+00:00,2022-08-31 14:35:42.052070+00:00,142205394,
5,121,20,False,2022-08-31 14:39:39+00:00,/app/media/2022/08/31/caja-5-10-39-39..jpg,True,0,Bolsa Reutilizable,,sco,2022-08-31 14:39:39.311031+00:00,2022-08-31 18:40:01.508603+00:00,1,2022-08-31 14:37:49.655000+00:00,2022-08-31 14:39:39.563366+00:00,142205394,
7,121,28,False,2022-08-31 14:58:54+00:00,/app/media/2022/08/31/caja-7-10-58-54..jpg,True,0,Carro de otro cliente,,sco,2022-08-31 14:58:54.790030+00:00,2022-08-31 18:59:08.847329+00:00,1,2022-08-31 14:57:05.115000+00:00,2022-08-31 14:58:54.924615+00:00,142205394,
6,121,21,False,2022-08-31 15:00:14+00:00,/app/media/2022/08/31/caja-6-11-00-14..jpg,True,0,Carro de otro cliente,,sco,2022-08-31 15:00:14.458028+00:00,2022-08-31 19:00:21.141861+00:00,1,2022-08-31 14:58:24.776000+00:00,2022-08-31 15:00:14.580848+00:00,142205394,
4,121,16,False,2022-08-31 15:21:32+00:00,/app/media/2022/08/31/caja-4-11-21-32..jpg,True,0,Intervención Cajera,,sco,2022-08-31 15:21:32.123159+00:00,2022-08-31 19:23:31.380266+00:00,1,2022-08-31 15:19:42.402000+00:00,2022-08-31 15:21:32.277583+00:00,142205394,
5,121,30,False,2022-08-31 15:27:51+00:00,/app/media/2022/08/31/caja-5-11-27-51..jpg,True,0,Carro de otro cliente,,sco,2022-08-31 15:27:51.486896+00:00,2022-08-31 19:28:08.390830+00:00,1,2022-08-31 15:26:01.766000+00:00,2022-08-31 15:27:51.620152+00:00,142205394,
4,121,17,False,2022-08-31 15:28:17+00:00,/app/media/2022/08/31/caja-4-11-28-17..jpg,True,0,Intervención Cajera,,sco,2022-08-31 15:28:17.909192+00:00,2022-08-31 19:28:25.683631+00:00,1,2022-08-31 15:26:28.185000+00:00,2022-08-31 15:28:17.945998+00:00,142205394,
0,121,0,False,2022-08-31 15:46:11+00:00,/app/media/2022/08/31/caja-0-11-46-11..jpg,True,0,Cliente Pagó en SCO,,carrazo,2022-08-31 15:46:11.322307+00:00,2022-08-31 19:46:47.416578+00:00,1,2022-08-31 15:44:21.591000+00:00,2022-08-31 15:46:11.455416+00:00,142205394,
4,121,22,False,2022-08-31 16:18:46+00:00,/app/media/2022/08/31/caja-4-12-18-46..jpg,True,0,Error de Reconocimiento,,sco,2022-08-31 16:18:46.684751+00:00,2022-08-31 20:19:01.576377+00:00,1,2022-08-31 16:16:56.941000+00:00,2022-08-31 16:18:46.818189+00:00,142205394,
7,121,47,False,2022-08-31 16:21:27+00:00,/app/media/2022/08/31/caja-7-12-21-27..jpg,True,0,Error de Reconocimiento,,sco,2022-08-31 16:21:27.513663+00:00,2022-08-31 20:22:09.164191+00:00,1,2022-08-31 16:19:37.770000+00:00,2022-08-31 16:21:27.639739+00:00,142205394,
7,121,48,False,2022-08-31 16:23:19+00:00,/app/media/2022/08/31/caja-7-12-23-19..jpg,True,0,Error de Reconocimiento,,sco,2022-08-31 16:23:19.127131+00:00,2022-08-31 20:23:30.210002+00:00,1,2022-08-31 16:21:29.379000+00:00,2022-08-31 16:23:19.292194+00:00,142205394,
7,121,49,False,2022-08-31 16:26:17+00:00,/app/media/2022/08/31/caja-7-12-26-17..jpg,True,0,Error de Reconocimiento,,sco,2022-08-31 16:26:18.091339+00:00,2022-08-31 20:26:25.054981+00:00,1,2022-08-31 16:24:28.337000+00:00,2022-08-31 16:26:18.220895+00:00,142205394,
4,121,25,False,2022-08-31 16:28:22+00:00,/app/media/2022/08/31/caja-4-12-28-22..jpg,True,0,Carro de otro cliente,,sco,2022-08-31 16:28:22.145061+00:00,2022-08-31 20:28:31.160263+00:00,1,2022-08-31 16:26:32.383000+00:00,2022-08-31 16:28:22.266468+00:00,142205394,
4,121,26,False,2022-08-31 16:31:38+00:00,/app/media/2022/08/31/caja-4-12-31-38..jpg,True,0,Intervención Cajera,,sco,2022-08-31 16:31:38.776209+00:00,2022-08-31 20:31:54.148268+00:00,1,2022-08-31 16:29:49.007000+00:00,2022-08-31 16:31:38.887154+00:00,142205394,
6,121,49,False,2022-08-31 16:58:18+00:00,/app/media/2022/08/31/caja-6-12-58-18..jpg,True,0,Carro de otro cliente,,sco,2022-08-31 16:58:18.620966+00:00,2022-08-31 21:30:25.991895+00:00,1,2022-08-31 16:56:28.838000+00:00,2022-08-31 16:58:18.778518+00:00,142205394,
8,121,79,False,2022-08-31 16:58:55+00:00,/app/media/2022/08/31/caja-8-12-58-55..jpg,True,0,Carro de otro cliente,,sco,2022-08-31 16:58:55.595397+00:00,2022-08-31 21:13:23.723907+00:00,1,2022-08-31 16:57:05.806000+00:00,2022-08-31 16:58:55.635601+00:00,142205394,
2,121,45,False,2022-08-31 17:13:38+00:00,/app/media/2022/08/31/caja-2-13-13-38..jpg,True,0,Intervención Cajera,,sco,2022-08-31 17:13:38.240385+00:00,2022-08-31 21:30:20.207784+00:00,1,2022-08-31 17:11:48.437000+00:00,2022-08-31 17:13:38.581587+00:00,142205394,
